layer_code,layer_name,label,name,active,start_date,end_date,description
ASPA,Antarctic Specially Protected Areas with marine component,182,Eastern Dallman Bay - Site B,yes,1/12/2024,,M 17 (2024)
ASPA,Antarctic Specially Protected Areas with marine component,173,"Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea",yes,1/12/2013,,"M  17 (2013) (*) 
M  9 (2019)  
M  13 (2024)"
ASPA,Antarctic Specially Protected Areas with marine component,152,Western Bransfield Strait,no,1/12/2009,1/12/2024,M 2 (2003) M 17 (2024)
ASPA,Antarctic Specially Protected Areas with marine component,153,Eastern Dallman Bay,no,1/12/2009,1/12/2024,M 2 (2003) M 17 (2024)
ASPA,Antarctic Specially Protected Areas with marine component,144,"Chile Bay (Discovery Bay), Greenwich Island",no,1/12/2004,1/12/2023,M 4 (2005) M 9 (2023)
KFMU,CCAMLR Candidate Krill Fishery Management Units,EI,EI,no,1/12/2022,1/12/2024,SC-CAMLR-41 Fig. 1
KFMU,CCAMLR Candidate Krill Fishery Management Units,SSIW,SSIW,no,1/12/2022,1/12/2024,SC-CAMLR-41 Fig. 1
KFMU,CCAMLR Candidate Krill Fishery Management Units,BS,BS,no,1/12/2022,1/12/2024,SC-CAMLR-41 Fig. 1
KFMU,CCAMLR Candidate Krill Fishery Management Units,JOIN,JOIN,no,1/12/2022,1/12/2024,SC-CAMLR-41 Fig. 1
KFMU,CCAMLR Candidate Krill Fishery Management Units,GS,GS,no,1/12/2022,1/12/2024,SC-CAMLR-41 Fig. 1
KFMU,CCAMLR Candidate Krill Fishery Management Units,DP,DP,no,1/12/2022,1/12/2024,SC-CAMLR-41 Fig. 1
KFMU,CCAMLR Candidate Krill Fishery Management Units,PB,PB,no,1/12/2022,1/12/2024,SC-CAMLR-41 Fig. 1
KFMU,CCAMLR Krill Fishery Management Units,EI,EI,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,BS,BS,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,JOIN,JOIN,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,PB1,PB1,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,PB2,PB2,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,GS,GS,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,SSIW,SSIW,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,DP1,DP1,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
KFMU,CCAMLR Krill Fishery Management Units,DP2,DP2,yes,1/12/2024,,WG-EMM-2024 Figs. 2-8
